Timestamp,MÊS,ITEM,CATEGORIA,VALOR,O GASTO FOI URGENTE?,FORMA DE PAGAMENTO,GANHO
12/26/2023 11:32:12,FEV,passagens,TRANSPORTE,30,SIM,DÉBITO,360
12/26/2023 11:33:26,FEV,cabeleireiro,BEM ESTAR,20,NÃO,PIX,50
12/26/2023 11:34:32,FEV,ingresso pra woman Tech,NECESSÁRIO,50,FOI PARA MEU BEM ESTAR,DÉBITO,80
12/26/2023 11:35:28,FEV,uber,TRANSPORTE,10,NÃO,DÉBITO,100
12/26/2023 11:35:55,FEV,convite de manu,BEM ESTAR,33,NÃO,DÉBITO,
12/26/2023 11:36:36,FEV,cartolina,BEM ESTAR,16,NÃO,DÉBITO,
12/26/2023 11:37:25,FEV,sabadinho,BEM ESTAR,66,FOI PARA MEU BEM ESTAR,DÉBITO,
12/26/2023 11:37:49,FEV,xerox,FACULDADE,20,NÃO,DÉBITO,
12/26/2023 11:39:33,FEV,hamburguer pra vitória,COMIDA,18,NÃO,PIX,
12/26/2023 11:40:04,FEV,creditos,NECESSÁRIO,40,SIM,PIX,
12/26/2023 11:41:05,FEV,blusas,BEM ESTAR,90,NÃO,DÉBITO,
12/26/2023 11:41:41,FEV,uber,TRANSPORTE,20,NÃO,DÉBITO,
12/26/2023 11:42:30,FEV,almoço com lari,COMIDA,14,NÃO,DÉBITO,
12/26/2023 11:44:03,FEV,carro para Santa rita,DINHEIRO,4,FOI PARA MEU BEM ESTAR,PIX,
12/26/2023 11:45:58,FEV,aniversario de renata,BEM ESTAR,36,NÃO,DÉBITO,
12/26/2023 11:46:46,FEV,UBER,TRANSPORTE,35,SIM,DÉBITO,
12/26/2023 11:47:17,FEV,UBER,TRANSPORTE,11,NÃO,DÉBITO,
12/26/2023 11:47:52,FEV,CARNAVAL,BEM ESTAR,16,FOI PARA MEU BEM ESTAR,DÉBITO,
12/26/2023 11:48:28,FEV,uber,TRANSPORTE,13,NÃO,DÉBITO,
12/26/2023 11:49:06,FEV,bebidas,COMIDA,45,NÃO,DÉBITO,
12/26/2023 11:55:51,MAR,passagens,TRANSPORTE,40,SIM,DÉBITO,
12/26/2023 11:56:27,MAR,marmita,COMIDA,15,FOI PARA MEU BEM ESTAR,DÉBITO,
12/26/2023 11:57:34,MAR,brinbes da mulheres em Tech,BEM ESTAR,88,NÃO,DÉBITO,
12/26/2023 11:58:07,MAR,uber,TRANSPORTE,6.5,NÃO,PIX,
12/26/2023 11:58:30,MAR,marmita,COMIDA,6,FOI PARA MEU BEM ESTAR,PIX,
12/26/2023 15:24:56,MAR,presente de mãe,NECESSÁRIO,55,NÃO,DÉBITO,
12/26/2023 15:25:36,MAR,almoço,COMIDA,21,FOI PARA MEU BEM ESTAR,DÉBITO,
12/26/2023 15:25:56,MAR,doces,BEM ESTAR,38,NÃO,PIX,
